Warhead,Target
2C3,['DYRK1A']
2C4,['DYRK1A']
2K2,['DYRK1A']
39I,['DYRK1A']
3NG,['DYRK1A']
3RA,['DYRK1A']
4E1,['DYRK1A']
4E2,['DYRK1A']
4E3,['DYRK1A']
4H5,['DYRK1A']
4VZ,['DYRK1A']
4WD,['DYRK1A']
5PW,['DYRK1A']
6SD,['DYRK1A']
6ZV,['DYRK1A']
7QQ,['DYRK1A']
9OF,['DYRK1A']
9OL,['DYRK1A']
A00,['DYRK1A']
A01,['DYRK1A']
A02,['DYRK1A']
A03,['DYRK1A']
A04,['DYRK1A']
A05,['DYRK1A']
AJG,['DYRK1A']
AWR,['DYRK1A']
B5T,['DYRK1A']
B5Z,['DYRK1A']
B6B,['DYRK1A']
B6H,['DYRK1A']
B6N,['DYRK1A']
B6Q,['DYRK1A']
B6Z,['DYRK1A']
B7B,['DYRK1A']
B7W,['DYRK1A']
CC9,['DYRK1A']
CUE,['DYRK1A']
D15,['DYRK1A']
EHB,['DYRK1A']
EKU,['DYRK1A']
HRM,['DYRK1A']
IWU,['DYRK1A']
JHW,['DYRK1A']
KQE,['DYRK1A']
KQK,['DYRK1A']
KQW,['DYRK1A']
KQZ,['DYRK1A']
KR8,['DYRK1A']
KRK,['DYRK1A']
KRQ,['DYRK1A']
MFR,['DYRK1A']
MLW,['DYRK1A']
OPW,['DYRK1A']
Q8J,['DYRK1A']
QIV,['DYRK1A']
QKG,['DYRK1A']
QS0,['DYRK1A']
QY8,['DYRK1A']
QYB,['DYRK1A']
QYE,['DYRK1A']
QYH,['DYRK1A']
QYK,['DYRK1A']
QYW,['DYRK1A']
QYZ,['DYRK1A']
QZ2,['DYRK1A']
QZW,['DYRK1A']
R05,['DYRK1A']
R7O,['DYRK1A']
RHH,['DYRK1A']
RHT,['DYRK1A']
RHW,['DYRK1A']
RHZ,['DYRK1A']
RJ2,['DYRK1A']
RJ5,['DYRK1A']
RJ8,['DYRK1A']
RJZ,['DYRK1A']
RK2,['DYRK1A']
RK5,['DYRK1A']
RK8,['DYRK1A']
RKH,['DYRK1A']
RKK,['DYRK1A']
RKQ,['DYRK1A']
RKW,['DYRK1A']
RKZ,['DYRK1A']
RUT,['DYRK1A']
XIR,['DYRK1A']
Y3L,['DYRK1A']
YOX,['DYRK1A']
ZC3,['DYRK1A']
