Warhead,SMILES
2C3,['COc1ncc2c(n1)NC(=O)C(=C2)C(=O)Nc3cc(ccc3Cl)C(=O)N[C@H](CCN)c4cccc(c4)Cl']
2C4,['COc1ncc2c(n1)NC(=O)C(=C2)C(=O)Nc3cc(ccc3Cl)C(=O)OC']
2K2,['C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)N(C)C(=O)c9ccccc9)OC']
39I,['c1ccc(cc1)CNc2nc3ccsc3c(n2)Nc4cc(n[nH]4)C5CC5']
3NG,['c1cc(cc(c1)Cl)Nc2c3ccncc3c4ccc(cc4n2)C(=O)O']
3RA,['c1ccc(cc1)NC2=NC(=O)C(=N2)Cc3ccc4c(c3)OCO4']
4E1,['c1ccc2c(c1)c3c(c4cccc(c4[nH]3)I)c(n2)C(=O)O']
4E2,['c1cc2c3c(c4cc(ccc4nc3C(=O)O)I)[nH]c2c(c1)Cl']
4E3,['c1cc2c3c(c4cc(ccc4nc3C(=O)O)I)[nH]c2c(c1)Br']
4H5,['COc1ccc2c3ccnc(c3n(c2c1)CC#N)Cl']
4VZ,['CCOc1cc(ccc1O)/C=C\\2/C(=O)NC(=S)S2']
4WD,['COc1ccc(cc1C#C)/C=C\\2/C(=O)NC(=S)S2']
5PW,['CC(=O)Nc1nc2ccc(cc2s1)[N+](=O)[O-]']
6SD,['COc1ccc(cc1)c2cc([nH]n2)N']
6ZV,['CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(n3)c4cc5c(c(c4)F)nc(n5C(C)C)C)F']
7QQ,['CC(=O)Nc1nc2cc(ccc2s1)OC']
9OF,['CC1(Cc2cc(ccc2-c3c1c(ncn3)N)OC)C']
9OL,['CC1(Cc2cc(ccc2-c3c1c(ncn3)N)C(=C)C4CCNCC4)C']
A00,['CN1CCN(CC1)c2ccc(cc2F)c3c4cc(ccc4ncn3)c5ccnc(c5)N']
A01,['c1cc(cc(c1)C(=O)N)CNc2nc3ccsc3c(n2)Nc4cc(n[nH]4)C5CC5']
A02,['c1cc(cc(c1)C(=O)N)CNc2nc3ccoc3c(n2)Nc4cc(n[nH]4)C5CCC5']
A03,['c1cc(cnc1)CNc2nc3ccsc3c(n2)Nc4cc(n[nH]4)C5CCC5']
A04,['c1ccc(cc1)CNc2nc3ccoc3c(n2)Nc4cc([nH]n4)C5CC5']
A05,['c1cc(cnc1)CNc2nc3ccoc3c(n2)Nc4cc(n[nH]4)C5CCC5']
AJG,['CC(=O)N=C1Nc2ccc(cc2S1)C#N']
AWR,['COc1ccc2c3ccnc(c3n(c2c1)CCCCN)C(F)(F)F']
B5T,['c1cc(cnc1)c2c[nH]c3c2cc(cn3)c4ccc(cc4)S(=O)(=O)N']
B5Z,['c1cc(cc(c1)NC(=O)NCCN2CCOCC2)c3ccc4c(n3)sc(n4)NC(=O)C5CC5']
B6B,['COc1ccc(cc1c2cnc(c(n2)C(=O)c3cccnc3)N)N']
B6H,['CCC(=O)Nc1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3OC)N4CCN(CC4)C)N']
B6N,['c1cc2c(cc1c3c[nH]nc3)c4c(cn2)C=CC(=O)N4c5ccc(cc5C(F)(F)F)F']
B6Q,['CCC(=O)Nc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)N4CCN(CC4)C)N']
B6Z,['CN1CCN(CC1)c2ccc(c(c2)OC)Nc3nc(c(s3)C(=O)c4ccccc4)N']
B7B,['CN1c2cnc(nc2N([C@@H]3CCC[C@@H]3C1=O)C4CCCC4)Nc5ccc(cc5)C(=O)N']
B7W,['c1cc(cc(c1)N)c2cc3c(c[nH]c3nc2)c4cccnc4']
CC9,['COc1c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c2cc(c(cc2)O)OC)O']
CUE,['c1cc2c(cc1O)oc-3c2C(=O)Oc4c3ccc(c4)O']
D15,['c1ccc(cc1)C(=O)Nc2c3cc(ccc3[nH]n2)NC(=O)[C@@H](CCN)c4cccc(c4)Cl']
EHB,['CCN\\1c2cc(ccc2S/C1=C\\C(=O)C)O']
EKU,['c1cc(c2c(c1O)C(=O)c3c(cc(cc3O2)O)O)O']
HRM,['Cc1c2c(ccn1)c3ccc(cc3[nH]2)OC']
IWU,['c1c(cnc2c1nn[nH]2)Br']
JHW,['c1cc(cnc1)c2nc3ccc4c(c3s2)C(=O)N(C=N4)C5CC5']
KQE,['c1cc(cc(c1)OC(F)(F)F)c2cnc3n2nc(cc3)c4ccncc4']
KQK,['CN(C)c1nccc(n1)c2cnn3c2cccn3']
KQW,['CN(c1nccc(n1)c2cnn3c2cccn3)C4CC4']
KQZ,['CN(C)c1nccc(n1)c2c[nH]c3c2cccn3']
KR8,['CN(c1ccccc1)c2nccc(n2)c3cnn4c3cccn4']
KRK,['c1cc2c(cnn2nc1)c3ccnc(n3)N4CC[C@@H](C4)F']
KRQ,['CNc1nccc(n1)c2cnn3c2cccn3']
MFR,['COc1ccnc2c1c(c[nH]2)c3ccnc(n3)N']
MLW,['c1cc2c3c([nH]c2c(c1)Cl)C=CC=CC3=O']
OPW,['CC(=O)Nc1cc(cnc1)c2nc3cc(ccc3s2)OC']
Q8J,['CCN1CCN(CC1)C(=O)Nc2cc(ccn2)c3cn(c4c3ccnc4)C5CCOCC5']
QIV,['CC(=O)Nc1nc2cc(ccc2s1)O']
QKG,['Cc1c2c(ccn1)c3ccc(cc3n2CCCC(=O)N)OC']
QS0,['Cn1cc(c2c1cncc2)c3ccnc(n3)Nc4ccc(cc4OC)N5CCN(CC5)C']
QY8,['c1c[nH]c2c1C(=O)NC(=N2)N']
QYB,['c1ccc(cc1)c2c3c(n[nH]2)N=CNC3=O']
QYE,['c1csc2c1c(ncc2Cl)N']
QYH,['COc1ccc(cc1)c2cc(nc(n2)N)N']
QYK,['Cn1c2c(c(c1Br)C#N)c(ncn2)N']
QYW,['Cc1nc(c2c(c([nH]c2n1)c3cccnc3)C#N)N']
QYZ,['Cc1ccc(o1)/C=C/2\\c3ccccc3NC2=O']
QZ2,['Cn1cc(cn1)c2cc([nH]n2)C(=O)O']
QZW,['Cc1nc2c(c(c[nH]2)c3ccnc(c3)N)c(n1)OCc4ccsc4']
R05,['Cc1nc2c(c(c[nH]2)c3ccnc(c3)N)c(n1)NCc4c(cccc4F)F']
R7O,['c1cc(c(cc1C2=C(C(=O)c3c(cc(c(c3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O)O']
RHH,['Cc1nc2ccc(nc2n1CCOc3ccccn3)c4cc(nc(c4)N)N']
RHT,['Cn1cnc2c1cc(cc2)c3cc(nc(c3)N)N']
RHW,['c1cc2c(cco2)cc1c3cc(nc(c3)N)N']
RHZ,['COc1cc(ccc1Cl)c2ccnc(c2)N']
RJ2,['c1cc2c(cco2)cc1c3ccnc(c3)N4CCNCC4']
RJ5,['COc1ccc(cc1)c2ccnc(c2)N']
RJ8,['c1cc2c(cco2)cc1c3ccnc(c3)N']
RJZ,['Cc1nc2ccc(nc2n1CCOc3cccc(n3)Br)c4cc(nc(c4)N)N']
RK2,['Cc1nc2ccc(nc2n1C[C@@H](C)Oc3ccccn3)c4cc(nc(c4)N)N']
RK5,['Cc1c(oc2c1cc(cc2)c3cc(nc(c3)N)N)C']
RK8,['Cc1nc2ccc(nc2n1C[C@H](C)Oc3cccc(n3)Br)c4cc(nc(c4)N)N']
RKH,['Cc1cc2cc(ccc2o1)c3cc(nc(c3)N)N']
RKK,['CCCCc1nc2ccc(nc2n1CCCC)c3cc(nc(c3)N)N']
RKQ,['Cc1nc2ccc(nc2n1CCOc3ccccc3)c4cc(nc(c4)N)N']
RKW,['CNCC(=O)Nc1cc(cc(n1)N)c2ccc3c(c2)cco3']
RKZ,['Cc1nc2ccc(nc2n1C[C@@H](C)Oc3ccccc3)c4cc(nc(c4)N)N']
RUT,['C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(Oc4cc(cc(c4C3=O)O)O)c5ccc(c(c5)O)O)O)O)O)O)O)O']
XIR,['Cc1nc2ccc(nc2n1c3ccc(c(c3)F)N4CCN(CC4)C)c5ccnc(c5)N']
Y3L,['CC(=O)Nc1nc2ccc(cc2s1)Cl']
YOX,['c1cc2c(c([nH]c2c(c1)I)C3CCCC3)C#N']
ZC3,['CC(=O)Nc1nc2cc(ccc2s1)F']
